word,reading,consensus_level,level_votes,family_level_votes,reference_sources,reference_families,support_count,example_meaning
～匹,～ひき,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,～只 (小动物)
～病,～びょう,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,kind of disease
～風,～ふう,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,~ style
～分,～ふん,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,~ minutes
～部,～ぶ,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,~ part
～振り,～ぶり,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,after an interval of ~
～遍,～へん,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,time
～弁,～べん,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,"speech, dialect"
～歩,～ほ,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,"step, pace"
～ほう (ひかく),～ほう (ひかく),N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,(in comparison)
～本,～ほん,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,～根/支/条 (量词，用于细长物体)
～ぽい,～ぽい,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,~ish
～枚,～まい,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,～张 (量词，用于扁平物体)
～前,～まえ,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,～前
～まま,～まま,N4,"{""N4"": 1}","{""community-independent"": ""N4""}",wordmaster,community-independent,1,as it is
～まみれ,～まみれ,N1,"{""N1"": 1}","{""community-independent"": ""N1""}",wordmaster,community-independent,1,"covered with (by, in) ~"
～味,～み,N1,"{""N1"": 1}","{""community-independent"": ""N1""}",wordmaster,community-independent,1,~ cast (sense of taste)
～みたい,～みたい,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,looks like ~
～向け,～むけ,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,for ~
～目,～め,N4,"{""N4"": 1}","{""community-independent"": ""N4""}",wordmaster,community-independent,1,"number ~ sequence, ~nd; ~th"
～名,～めい,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,counter for people
～網,～もう,N1,"{""N1"": 1}","{""community-independent"": ""N1""}",wordmaster,community-independent,1,~ network
～もち,～もち,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,person who has ~
～問,～もん,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,counter for questions
～夜,～や,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,counter for nights
～屋,～や,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,~ shop
～薬,～やく,N1,"{""N1"": 1}","{""community-independent"": ""N1""}",wordmaster,community-independent,1,medicine
～やすい,～やすい,N4,"{""N4"": 1}","{""community-independent"": ""N4""}",wordmaster,community-independent,1,容易～
～油,～ゆ,N1,"{""N1"": 1}","{""community-independent"": ""N1""}",wordmaster,community-independent,1,~ oil
～寄り,～より,N1,"{""N1"": 1}","{""community-independent"": ""N1""}",wordmaster,community-independent,1,"near to ~ (e.g., North by East)"
～流,～りゅう,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,"fashion, manner, way"
～料,～りょう,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,"fare, charge"
～領,～りょう,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,territory
～力,～りょく,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,power of ~
～論,～ろん,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,theory
～羽,～わ,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,counter for rabbits; birds
～割,～わり,N1,"{""N1"": 1}","{""community-independent"": ""N1""}",wordmaster,community-independent,1,~ percent
～増し,～増し,N1,"{""N1"": 1}","{""community-independent"": ""N1""}",wordmaster,community-independent,1,~increase
〜 (まる) ごと,〜 (まる) ごと,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,整个～，全部的～
嗚呼,ああ,N1,"{""N1"": 1}","{""waller-derived"": ""N1""}",openjlpt|waller,waller-derived,1,Ah!; Oh!; Alas!
あいかわらず,あいかわらず,N2,"{""N2"": 1}","{""waller-derived"": ""N2""}",waller,waller-derived,1,"as ever,as usual,the same"
あいさつ,あいさつ,N4,"{""N4"": 1}","{""waller-derived"": ""N4""}",waller,waller-derived,1,to greet
愛想,あいそう,N1,"{""N1"": 1}","{""community-independent"": ""N1""}",wordmaster,community-independent,1,和蔼
