reading	display	level	grade	status	basis	common	frequency_rank	entry_id	evidence
モーツァルト	モーツァルト	N3	D	estimated	model+frequency+world-distribution	1	29450	1134600	{}
ユダヤ	猶太	N3	D	estimated	model+frequency+world-distribution	1	29516	1137080	{}
ユダヤきょう	ユダヤ教	N3	D	estimated	model+frequency+world-distribution	1	25447	1613200	{}
ユニバーサル	ユニバーサル	N3	D	estimated	model+frequency+world-distribution	1	29521	1137310	{}
ユーモア	ユーモア	N3	A	direct	core+waller-lineage-corroborated	1	23514	1136850	"{""core-deck-exact"":""N3"",""openjlpt-exact"":""N3"",""waller-exact"":""N3"",""existing-direct"":""N3"",""waller-entry-context"":""N3""}"
ヨット	ヨット	N3	A	direct	manual-secondary-exact	1	23515	1137620	"{""manual-secondary-exact"":""N3"",""core-deck-exact"":""N1"",""openjlpt-exact"":""N3"",""waller-exact"":""N3"",""existing-direct"":""N3"",""waller-entry-context"":""N3""}"
ヨーロッパ	欧羅巴	N3	B	direct	existing-direct-exact-row	1	29529	1137570	"{""existing-direct"":""N3"",""waller-entry-context"":""N3""}"
ライオン	ライオン	N3	B	direct	core-exact	1	29536	1137760	"{""core-deck-exact"":""N3"",""existing-direct"":""N3""}"
ライター	ライター	N3	B	direct	waller-lineage-exact	1	23517	1137880	"{""openjlpt-exact"":""N3"",""waller-exact"":""N3"",""existing-direct"":""N3"",""waller-entry-context"":""N3""}"
ライフワーク	ライフワーク	N3	D	estimated	model+frequency+world-distribution	1	29547	1138260	{}
ライブハウス	ライブハウス	N3	D	estimated	model+frequency+world-distribution	1	29549	1138290	{}
ライブラリー	ライブラリー	N3	D	estimated	model+frequency+world-distribution	1	29550	1138310	{}
ラインアップ	ラインアップ	N3	D	estimated	model+frequency+world-distribution	1	29552	1138400	{}
ラオス	羅宇	N3	D	estimated	model+frequency+world-distribution	1	29556	1138610	{}
ラケット	ラケット	N3	A	direct	core+waller-lineage-corroborated	1	23519	1138710	"{""core-deck-exact"":""N3"",""openjlpt-exact"":""N3"",""waller-exact"":""N3"",""existing-direct"":""N3"",""waller-entry-context"":""N3""}"
ラジエーター	ラジエーター	N3	D	estimated	model+frequency+world-distribution	1	29561	1138850	{}
ラッシュ	ラッシュ	N3	B	direct	core-exact	1	23521	1139180	"{""core-deck-exact"":""N3"",""existing-direct"":""N3""}"
ラッシュアワー	ラッシュアワー	N3	A	direct	manual-secondary-exact	1	23522	1139190	"{""manual-secondary-exact"":""N3"",""core-deck-exact"":""N3"",""openjlpt-exact"":""N2"",""waller-exact"":""N2"",""existing-direct"":""N2"",""waller-entry-context"":""N2""}"
ラテン	拉丁	N3	D	estimated	model+frequency+world-distribution	1	29576	1139300	{}
ラテンご	ラテン語	N3	D	estimated	model+frequency+world-distribution	1	23523	1139330	{}
ラフマニノフ	ラフマニノフ	N3	D	estimated	model+frequency+world-distribution	1	29585	1139540	{}
ランジェリー	ランジェリー	N3	D	estimated	model+frequency+world-distribution	1	29603	1140030	{}
